question,reference_answer,line_number_start,line_number_end,question_type,filename
What does the trace_event decorator do? How do I use it?,"Once `Tracely` is initialized, you can decorate your functions with `trace_event` to start collecting traces for a specific function. For example: `@trace_event() def process_request(question: str, session_id: str): # do work return ""work done""`. You can also specify which function arguments should be included in the trace using the `track_args` parameter.",61,91,direct_inquirer,docs/platform/tracing_setup.mdx
can I ignore certain arguments in the trace?,"Yes, you can ignore arguments by using the `ignore_args` parameter in the `trace_event` decorator. This is useful for arguments that contain sensitive data.",98,98,context_assumer,docs/platform/tracing_setup.mdx
How do I make nested traces?,"If a traced function is called inside another traced function, it will automatically appear as a nested child span, as long as it's executed in the same call context (same thread). You can also specify a `span_name` for each traced function to better organize the trace structure.",107,129,direct_inquirer,docs/platform/tracing_setup.mdx
I don't want to use a decorator. How can I create a trace event for a specific block of code?,"You can use the `create_trace_event` context manager for a specific piece of code. For example: `with create_trace_event(""external_span"", session_id=session_id) as event: event.set_attribute(""my-attribute"", ""value"")`. You can also nest these context managers.",141,169,frustrated_beginner,docs/platform/tracing_setup.mdx
How to add attributes to a trace event after it's created using the context manager?,You can use the `event.set_attribute()` method within the `with create_trace_event():` block to add custom attributes to the event.,154,154,context_assumer,docs/platform/tracing_setup.mdx
"I'm trying to connect to Evidently Cloud using Python, but I'm not sure how to get my API key. Where can I find it?",Click the **Key** menu icon to open the [Token page](https://app.evidently.cloud/token). Generate and save token securely.,14,14,frustrated_beginner,docs/setup/cloud.mdx
"I'm trying to get the dashboard set up, but it's not clear where my data should go. What are the options for storing evaluation results?","As a storage backend, Evidently supports:
- a file system
- any SQL-like database (such as SQLite or Postgres)
- any S3-compatible storage (such as Amazon S3, GCS, or MinIO – through `fsspec`).",20,24,frustrated_beginner,docs/setup/self-hosting.mdx
python ui service setup,"To get a self-hostable Dashboard, you must:

- Create a Workspace (local or remote) to store your data.
- Launch the UI service.",7,10,hurried_developer,docs/setup/self-hosting.mdx
"It mentions creating a workspace, how do I do that locally?","To create a local Workspace and assign a name:

```python
ws = Workspace.create(""evidently_ui_workspace"")
```

You can pass a `path` parameter to specify the path to a local directory.",45,49,context_assumer,docs/setup/self-hosting.mdx
Can I run the Evidently UI service on a different port than the default 8000?,"If you have your Project in a specified Workspace and run the UI service at the specific port (if the default port 8000 is occupied).

```bash
evidently ui --workspace ./workspace --port 8080
```",125,128,direct_inquirer,docs/setup/self-hosting.mdx
How do I delete all the data in my workspace?,"To delete a Workspace, run the command from the Terminal:

```bash
cd src/evidently/ui/
rm -r workspace
```

**You are deleting all the data**. This command will delete all the data stored in the workspace folder. To maintain access to the generated Reports, you must store them elsewhere.",98,107,frustrated_beginner,docs/setup/self-hosting.mdx
What's the command to start the UI service if my project is in a different workspace?,"If you have your Project in a different Workspace, specify the path:

```bash
evidently ui --workspace . /workspace
```",119,122,direct_inquirer,docs/setup/self-hosting.mdx
"I'm trying to set up automated testing for my LLM app with GitHub Actions, but I'm not sure where to start with the test data. Can I just use a file, or do I need something more specific?","You define a test dataset of inputs (e.g. test prompts with or without reference answers). You can store it as a file, or save the dataset at Evidently Cloud callable by Dataset ID.",5,5,frustrated_beginner,examples/GitHub_actions.mdx
"I'm trying to evaluate my LLM, but I'm not sure where to start. Can you point me to a tutorial that explains the basics and different methods?","Tutorial with an overview of methods. Part 1. Anatomy of a single evaluation. Covers basic LLM evaluation API and setup. Part 2. Reference-based evaluation: exact match, semantic similarity, BERTScore, and LLM judge. Part 3. Reference-free evaluation: text statistics, regex, ML models, LLM judges, and session-level evaluators.",5,7,frustrated_beginner,examples/LLM_evals.mdx
LLM eval methods overview?,"Tutorial with an overview of methods. Part 1. Anatomy of a single evaluation. Covers basic LLM evaluation API and setup. Part 2. Reference-based evaluation: exact match, semantic similarity, BERTScore, and LLM judge. Part 3. Reference-free evaluation: text statistics, regex, ML models, LLM judges, and session-level evaluators.",5,7,hurried_developer,examples/LLM_evals.mdx
"I'm trying to set up an LLM evaluator, but I'm not sure how to define the criteria for correctness. Can you show me the prompt template for that?","To define the prompt template for correctness, you can use the `BinaryClassificationPromptTemplate` and set the `criteria` parameter. An example is: `criteria = """"""An ANSWER is correct when it is the same as the REFERENCE in all facts and details, even if worded differently. The ANSWER is incorrect if it contradicts the REFERENCE, adds additional claims, omits or changes details. REFERENCE: ===== {target_response} =====""""""`",233,241,frustrated_beginner,examples/LLM_judge.mdx
How to add LLMEval descriptor to dataset?,"To add an LLMEval descriptor to your dataset, use `eval_dataset.add_descriptors(descriptors=[LLMEval(""new_response"", template=correctness, provider = ""openai"", model = ""gpt-4o-mini"", alias=""Correctness"", additional_columns={""target_response"": ""target_response""}),])`",258,265,hurried_developer,examples/LLM_judge.mdx
It mentions I can evaluate the LLM judge quality. How do I set that up?,"To evaluate the LLM judge quality, you need to map the dataset structure first. The column with the manual label is the ""target"", and the LLM-judge response is the ""prediction"". You can define this using `DataDefinition(classification=[BinaryClassification(target=""label"", prediction_labels=""Correctness"", pos_label = ""incorrect"")], categorical_columns=[""label"", ""Correctness""])` and then create a `Dataset` object from a pandas DataFrame.",311,322,context_assumer,examples/LLM_judge.mdx
Can I create a judge for response verbosity?,"Yes, you can create a verbosity judge using the `BinaryClassificationPromptTemplate`. You need to define the `criteria` for conciseness, such as: `criteria = """"""Conciseness refers to the quality of being brief and to the point, while still providing all necessary information. A concise response should: - Provide the necessary information without unnecessary details or repetition. - Be brief yet comprehensive enough to address the query. - Use simple and direct language to convey the message effectively.""""""`, and set `target_category=""concise""` and `non_target_category=""verbose""`.",353,362,direct_inquirer,examples/LLM_judge.mdx
How do I install the necessary libraries for using Evidently with LLMs?,"You can install Evidently and LiteLLM using pip by running `pip install evidently litellm`. Alternatively, you can install Evidently with LLM support by running `pip install ""evidently[llm]""`.",11,15,direct_inquirer,examples/LLM_jury.mdx
"I need to set up API keys for the LLM judges, where do I put them?","You can pass the API keys for the LLMs you'll use as judges by setting them as environment variables. For example, you would use `os.environ[""OPENAI_API_KEY""] = ""YOUR KEY""`, `os.environ[""GEMINI_API_KEY""] = ""YOUR KEY""`, and `os.environ[""ANTHROPIC_API_KEY""] = ""YOUR KEY""`.",39,43,frustrated_beginner,examples/LLM_jury.mdx
How to define an evaluation prompt for email appropriateness?,"You can use `BinaryClassificationPromptTemplate` to define the evaluation prompt. This involves setting `pre_messages` with a system prompt defining the LLM's expertise, a `criteria` detailing what constitutes an appropriate or inappropriate email, and specifying the `target_category` and `non_target_category`, along with `include_reasoning=True` to get explanations.",99,114,direct_inquirer,examples/LLM_jury.mdx
Setting up LLM judges for evaluation,"To create a panel of LLM judges, you instantiate `LLMEval` for each desired LLM provider and model, specifying the column to evaluate, the prompt template, and an alias. You can also add tests for each judge, such as `eq(""APPROPRIATE"", column=""[Judge_Alias]"", alias=""[Judge Name] approves"")`. Additionally, a `TestSummary` descriptor can be added to compute overall success checks and approval counts.",133,146,hurried_developer,examples/LLM_jury.mdx
How can I tell if the LLMs disagree on their evaluations?,"To explicitly flag disagreements among LLMs, you can add a custom descriptor. This descriptor checks the success rate of approvals; if the rate is not 0.0 or 1.0 (meaning not all LLMs unanimously approved or rejected), it flags the result as ""DISAGREE"".",156,165,direct_inquirer,examples/LLM_jury.mdx
How to get the evaluation results locally?,"To explore results locally, you can export them to a DataFrame using `llm_evals.as_dataframe()`. To get a summary report with overall metrics, you can create a `Report` with `TextEvals()` and run it using `report.run(llm_evals, None)`. The resulting report object `my_eval` can then be displayed directly, or saved as JSON, a dictionary, or an HTML file.",175,204,frustrated_beginner,examples/LLM_jury.mdx
upload results to Evidently Cloud,"To upload results to Evidently Cloud for easier exploration, you can use the `ws.add_run(project.id, my_eval, include_data=True)` method, where `ws` is your CloudWorkspace instance and `project.id` is the ID of your Evidently Cloud project.",191,195,hurried_developer,examples/LLM_jury.mdx
What does the example data represent?,The example data simulates user instructions for an email generation tool and the corresponding model outputs. This dataset is used to evaluate whether the tone of the generated emails is appropriate using a panel of LLM judges.,67,69,direct_inquirer,examples/LLM_jury.mdx
"I'm trying to set up the LLM judges, but it says I need to pass API keys. Where do I do that?","Pass the API keys for the LLMs you'll use as judges by setting them as environment variables. For example, you can set `os.environ[""OPENAI_API_KEY""] = ""YOUR KEY""`, `os.environ[""GEMINI_API_KEY""] = ""YOUR KEY""`, and `os.environ[""ANTHROPIC_API_KEY""] = ""YOUR KEY""`.",39,43,context_assumer,examples/LLM_jury.mdx
"I'm trying to evaluate my RAG system, but I'm not sure how to start. Can you explain what aspects of RAG Evidently can help me assess?","Evidently can help you evaluate both retrieval and generation quality. For retrieval, it assesses the quality of retrieved contexts, including per-chunk relevance. For generation, it evaluates the quality of the final response, both with and without ground truth.",10,14,frustrated_beginner,examples/LLM_rag_evals.mdx
"How to evaluate RAG performance, track reports?","By the end of this tutorial, you'll know how to evaluate different aspects of a RAG system, and generate structured reports to track RAG performance.",16,16,hurried_developer,examples/LLM_rag_evals.mdx
I see you're running a sample notebook. How can I run it myself?,You can run a sample notebook by following these links: [Jupyter notebook](https://github.com/evidentlyai/community-examples/blob/main/tutorials/rag_metrics.ipynb) or [open it in Colab](https://colab.research.google.com/github/evidentlyai/community-examples/blob/main/tutorials/rag_metrics.ipynb).,19,19,context_assumer,examples/LLM_rag_evals.mdx
"Can you show me an example of a RAG system being created, not just simulated outputs?","If you want to see an example where we also create a RAG system, check this [video tutorial](https://www.youtube.com/watch?v=jckp5R09Afg&list=PL9omX6impEuNTr0KGLChHwhvN-q3ZF12d&index=10).",23,23,direct_inquirer,examples/LLM_rag_evals.mdx
How do I install Evidently for LLM evaluation?,"Install Evidently by running: 
```python
!pip install evidently[llm]
```",30,32,direct_inquirer,examples/LLM_rag_evals.mdx
What are the necessary imports for RAG evaluation?,"You need to import pandas as pd, and from evidently: Dataset, DataDefinition, various descriptors like ContextQualityLLMEval and ContextRelevance, and Report, TextEvals, metrics and tests.",37,47,hurried_developer,examples/LLM_rag_evals.mdx
How do I set up my OpenAI key?,"Pass your OpenAI key as an environment variable:
```python
import os
os.environ[""OPENAI_API_KEY""] = ""YOUR_KEY""
```",53,56,direct_inquirer,examples/LLM_rag_evals.mdx
"I'm trying to generate a synthetic dataset for testing retrieval, but I'm not sure what columns I need. What should I include?","When generating a synthetic dataset for evaluating retrieval, you should include columns for 'Question', 'Context', and 'Response'.",86,87,frustrated_beginner,examples/LLM_rag_evals.mdx
how to evaluate overall context quality?,"You can evaluate overall context quality by creating an Evidently dataset object from your pandas DataFrame, specifying the text columns, and using the `ContextQualityLLMEval` descriptor. Then call `.as_dataframe()` on the dataset object.",96,105,hurried_developer,examples/LLM_rag_evals.mdx
It says I can use a built-in LLM judge metric. Which one is used for context quality?,The built-in LLM judge metric used for evaluating context quality is `ContextQualityLLMEval`.,113,113,context_assumer,examples/LLM_rag_evals.mdx
Can I customize the LLM judge used for evaluation?,"Yes, you can choose a different evaluator LLM or modify the prompt. See [LLM judge parameters](/metrics/customize_llm_judge) for more details.",116,116,direct_inquirer,examples/LLM_rag_evals.mdx
I want to check the relevance of each chunk for my RAG system. What metric should I use?,"To evaluate chunk relevance, you can use the `ContextRelevance` metric with `output_scores=True` and `aggregation_method='hit'`. This will provide a binary 'Hit' score indicating whether the context is relevant.",123,138,direct_inquirer,examples/LLM_rag_evals.mdx
"When I use `ContextRelevance` with `aggregation_method='hit'`, what exactly do I get in the output?","In this case you will get a binary ""Hit"" on whether the context is relevant or not.",138,138,context_assumer,examples/LLM_rag_evals.mdx
My RAG system retrieves multiple chunks. How can I check if at least one of them is relevant?,"For multiple retrieved chunks, you can use the `ContextRelevance` metric with `aggregation_method='hit'`. This will assess if at least one retrieved chunk contains relevant information and provide a 'Hit' score per query.",146,172,direct_inquirer,examples/LLM_rag_evals.mdx
"Instead of just a 'hit' or 'miss' for multiple contexts, can I get an average relevance score?","Yes, you can compute an average relevance score for multiple contexts using the `ContextRelevance` metric with `aggregation_method='mean'`. This will give you an average relevance score, aliased as 'Relevance'.",178,191,direct_inquirer,examples/LLM_rag_evals.mdx
I have ground truth data for my RAG responses. How can I compare the generated responses against the correct answers?,"If you have a ground truth dataset, you can compare generated responses against known correct answers using metrics like `CorrectnessLLMEval` (for LLM-based matching), `BERTScore`, and `SemanticSimilarity`. You can run these by creating an Evidently dataset object and including these descriptors.",201,231,direct_inquirer,examples/LLM_rag_evals.mdx
I don't have ground truth answers. Can I still evaluate the quality of my RAG responses?,"Yes, if you don't have reference answers, you can use reference-free LLM judges. For example, you can evaluate `FaithfulnessLLMEval` to detect if the response is contradictory or unfaithful to the context.",241,251,direct_inquirer,examples/LLM_rag_evals.mdx
What other checks can I do on my RAG responses if I don't have ground truth?,"Besides faithfulness, you can check for length constraints, refusal rate, string matching (for specific wording like disclaimers), and response tone to ensure it matches the intended style.",259,267,frustrated_beginner,examples/LLM_rag_evals.mdx
Where can I find a list of all available descriptors for RAG evaluation?,You can find a full list of available descriptors by checking the [list of available descriptors](/metrics/all_descriptors).,269,269,direct_inquirer,examples/LLM_rag_evals.mdx
I've run my evaluations. How can I group them into a summary report?,"Once you have defined your evaluations, you can group them into a **Report** to summarize the results across multiple tested inputs. Create a `Report` object and run it with your Evidently dataset.",273,302,frustrated_beginner,examples/LLM_rag_evals.mdx
"besides dataframe, what other output formats are there?","You can use other export options, like `as_dict()` for a Python dictionary output.",305,305,hurried_developer,examples/LLM_rag_evals.mdx
Can I add pass/fail conditions to my RAG evaluation report?,"Yes, you can add explicit pass/fail tests using the [Tests](/docs/library/tests) feature. These are conditional expectations you add to metrics. For example, you can test if all retrieved contexts are valid and all responses are faithful.",311,318,direct_inquirer,examples/LLM_rag_evals.mdx
I want to upload my evaluation results to Evidently Cloud. What's the first step?,The first step is to set up Evidently Cloud. You can find instructions and a signup link within the documentation.,332,334,frustrated_beginner,examples/LLM_rag_evals.mdx
How do I connect to Evidently Cloud?,"To connect with Evidently Cloud, you need to import the `CloudWorkspace` component from `evidently.ui.workspace`.",336,340,direct_inquirer,examples/LLM_rag_evals.mdx
I've created an eval. How do I upload it to Evidently Cloud?,"Once you have your eval object (e.g., `my_eval`), you can upload it to Evidently Cloud by adding it to a project using `ws.add_run(project.id, my_eval, include_data=True)`, where `ws` is your workspace instance and `project` is your project object.",354,358,context_assumer,examples/LLM_rag_evals.mdx
What can I do after uploading my eval to Evidently Cloud?,"After uploading your eval, you can go to the Evidently Cloud, open your Project, and explore the Report with scored data that's easy to interact with.",360,360,direct_inquirer,examples/LLM_rag_evals.mdx
What's next after evaluating RAG?,Considering implementing regression testing at every update to monitor how your RAG system retrieval and response quality changes.,365,366,hurried_developer,examples/LLM_rag_evals.mdx
"I'm trying to set up regression testing for my LLM outputs, and I see this example uses Evidently Cloud. How can I use it locally instead?","If you want to skip uploading to Evidently Cloud and view Reports locally, you can replace `CloudWorkspace` with `Workspace` in the code.",6,7,frustrated_beginner,examples/LLM_regression_testing.mdx
How do I install Evidently for LLM regression testing?,"To install Evidently with LLM support, you can use pip: `pip install evidently[llm]`",41,42,direct_inquirer,examples/LLM_regression_testing.mdx
What modules do I need to import for this tutorial?,"You need to import pandas and several modules from evidently.future: `Dataset`, `DataDefinition`, `Descriptor`, `*` (from `evidently.future.descriptors`), `Report`, `TextEvals`, `*` (from `evidently.future.metrics`), and `*` (from `evidently.future.tests`). Additionally, import `BinaryClassificationPromptTemplate` from `evidently.features.llm_judge`.",47,59,direct_inquirer,examples/LLM_regression_testing.mdx
How to connect to Evidently Cloud?,"To connect to Evidently Cloud, you need to import `CloudWorkspace` and instantiate it with your API token and URL: `ws = CloudWorkspace(token=""YOUR_API_TOKEN"", url=""https://app.evidently.cloud"")`.",64,94,hurried_developer,examples/LLM_regression_testing.mdx
"I've connected to Evidently Cloud, how do I create a project?","You can create a project by calling `ws.create_project(""Project Name"", org_id=""YOUR_ORG_ID"")`, and then optionally set its description and save it using `project.save()`.",100,102,context_assumer,examples/LLM_regression_testing.mdx
How to create a toy dataset for Q&A?,"You can create a toy dataset by defining a list of lists, where each inner list contains a question and its target response, and then converting it into a pandas DataFrame with appropriate column names like ""question"" and ""target_response"".",110,120,direct_inquirer,examples/LLM_regression_testing.mdx
How do I add text length and sentence count to my dataset?,"You can add text length and sentence count as descriptors to your dataset by creating an Evidently `Dataset` object from your pandas DataFrame and including `TextLength` and `SentenceCount` from `evidently.future.descriptors` in the `descriptors` list. For example: `ref_dataset = Dataset.from_pandas(..., descriptors=[TextLength(""column_name"", alias=""Length""), SentenceCount(""column_name"", alias=""Sentence"")])`.",137,142,frustrated_beginner,examples/LLM_regression_testing.mdx
What does the `Dataset.from_pandas` method do?,"The `Dataset.from_pandas` method creates an Evidently Dataset object. You can automatically define the data using `data_definition=DataDefinition()` and add built-in descriptors for analysis, such as text length or symbol count, by passing them in the `descriptors` list.",137,142,direct_inquirer,examples/LLM_regression_testing.mdx
How to get a summary report of dataset statistics?,"You can generate a summary report of dataset statistics by creating a `Report` object with `TextEvals()` and running it with your dataset: `report = Report([TextEvals()])
my_eval = report.run(dataset, None)`.",161,165,hurried_developer,examples/LLM_regression_testing.mdx
How do I simulate generating new LLM responses?,"You can simulate generating new responses by creating a new pandas DataFrame that includes an additional column (e.g., 'response') containing the new answers, alongside the original 'question' and 'target_response' columns.",184,208,direct_inquirer,examples/LLM_regression_testing.mdx
I need to compare new answers to old ones. What evaluation metrics can I use?,"You can use deterministic or embeddings-based metrics like Semantic Similarity. For custom criteria, using LLM-as-a-judge is recommended, where you define what to detect. This tutorial uses it to check for length, correctness, and style.",222,232,direct_inquirer,examples/LLM_regression_testing.mdx
How can I create a custom LLM judge for correctness?,"You can create a custom LLM judge for correctness by using `BinaryClassificationPromptTemplate`. You need to define the `criteria` for correctness (e.g., 'An ANSWER is correct when it is the same as the REFERENCE in all facts and details...'), specify the `target_category` (e.g., 'incorrect') and `non_target_category` (e.g., 'correct'), and optionally include reasoning.",243,255,direct_inquirer,examples/LLM_regression_testing.mdx
I want to check if the LLM responses match the style of the reference. How do I set that up?,"You can create a style judge using `BinaryClassificationPromptTemplate`. Define `criteria` that focus on stylistic attributes like tone, sentence structure, and verbosity, ignoring content. Set `target_category` to 'style-mismatched' and `non_target_category` to 'style-matching'.",273,293,frustrated_beginner,examples/LLM_regression_testing.mdx
How do I add my custom LLM judges and text length to the dataset?,"You add custom judges and other descriptors to the dataset by creating a list of `descriptors`. For LLM judges, use `LLMEval` specifying the response column, the `template` (your prompt template), the `provider` and `model`. Include `TextLength` for length checks. Then, call `dataset.add_descriptors(descriptors=descriptors)`.",309,321,hurried_developer,examples/LLM_regression_testing.mdx
What's the difference between 'tests' and 'share_tests' in the Report configuration?,"The `tests` parameter is used to define conditions for evaluating metrics, typically for counts (e.g., `CategoryCount`). The `share_tests` parameter is used when you want to test the share of results that meet certain conditions instead of the count.",349,368,direct_inquirer,examples/LLM_regression_testing.mdx
How do I run the Report and send results to Evidently Cloud?,"To run the Report and send results to Evidently Cloud, first run the report using `my_eval = report.run(dataset, None)`, and then add the run to your workspace using `ws.add_run(project.id, my_eval, include_data=True)`. Including data is optional but recommended for LLM use cases.",374,375,context_assumer,examples/LLM_regression_testing.mdx
My report failed the length check. How can I find the specific output that caused it?,"If your report fails a check like the length check, you can find the failed output by sorting the relevant column (in this case, 'Length') in descending order in the dataset view within the Evidently Platform. This will show you the longest response that exceeded the limit.",398,398,frustrated_beginner,examples/LLM_regression_testing.mdx
I made changes and ran another evaluation. How do I see the results compared to the previous run?,"After running a new evaluation with new data (e.g., `eval_dataset_2`), you can add it to the same project in Evidently Cloud using `ws.add_run(project.id, my_eval_2, include_data=True)`. The platform will then display the new results, allowing you to compare them with previous reports and identify changes like incorrect responses or style mismatches.",452,455,context_assumer,examples/LLM_regression_testing.mdx
How can I create a dashboard to track test results over time?,"You can create a dashboard by adding panels to your project. For example, to track test results, you can add a `DashboardPanelTestSuiteCounter` for the latest run's success rate and a `DashboardPanelTestSuite` for detailed test results over time, specifying 'Tests' as the tab for both.",474,492,direct_inquirer,examples/LLM_regression_testing.mdx
What do I do after I've designed my test suite?,"After designing your test suite, you can integrate it with CI/CD workflows to run on every change. You can also enable alerts to be sent to your email or Slack whenever the tests fail.",506,506,context_assumer,examples/LLM_regression_testing.mdx
Where can I find a course on LLM evaluations?,We have an applied course on LLM evaluations! Free video course with 10+ tutorials.,1,2,direct_inquirer,examples/introduction.mdx
I'm new here. What should I look at first?,"If you are new, start here.",7,7,frustrated_beginner,examples/introduction.mdx
"Quickstarts for LLM, ML, Tracing?",Evaluate the quality of text outputs. Test tabular data quality and data drift. Collect inputs and outputs from AI your app.,11,17,hurried_developer,examples/introduction.mdx
How do I evaluate an LLM judge against human labels?,How to create and evaluate an LLM judge against human labels.,27,27,direct_inquirer,examples/introduction.mdx
RAG evaluation metrics walkthrough?,A walkthrough of different RAG evaluation metrics.,30,30,hurried_developer,examples/introduction.mdx
Can I use multiple LLMs to evaluate an output?,Using multiple LLMs to evaluate the same output.,33,33,direct_inquirer,examples/introduction.mdx
"I'm looking for the LLM evaluation methods tutorial, where is it?",A walkthrough of different LLM evaluation methods. [CODE + VIDEO],36,36,frustrated_beginner,examples/introduction.mdx
Descriptor cookbook link?,"A walkthrough of different descriptors (deterministic, ML, etc.) a single notebook.",39,39,hurried_developer,examples/introduction.mdx
How do I optimize a classifier?,Optimize a multi-class classifier using target labels. Optimize a binary classifier using target labels and free-form feedback.,42,45,context_assumer,examples/introduction.mdx
Where are the ML tutorials?,End-to-end examples of specific workflows and use cases.,51,51,frustrated_beginner,examples/introduction.mdx
"Metric cookbook for Regression, Classification, Data Quality, Data Drift?","Various data/ML metrics: Regression, Classification, Data Quality, Data Drift.",55,55,hurried_developer,examples/introduction.mdx
What integrations are available?,"Running Evidently evals as part of CI/CD workflow. Native GitHub action integration for regression testing. Examples of using different external evaluator LLMs as LLM judges: OpenAI, Gemini, Google Vertex, Mistral, Ollama. Visualize Evidently LLM evaluation metrics with Grafana. (Postgres as a database). Visualize Evidently data drift evaluations on a Grafana dashboard. (Postgres as a database).",65,74,context_assumer,examples/introduction.mdx
"I'm already using Evidently Cloud, how do I get the new v2 features?",All new users are automatically enrolled in Evidently Cloud v2. Existing Cloud v1 users can manually switch to the new version.,13,14,frustrated_beginner,faq/cloud_v2.mdx
"I can't figure out how to use the new API, it says import from evidently.future but that gives me an error.","To use the new API, import components from `evidently.future`. For example: `from evidently.future import Report`.",13,13,frustrated_beginner,faq/migration.mdx
python api update version 0.7,Evidently 0.7 release makes the new API the default. You can import it as `from evidently import Report`. This is coupled with updates to the [Evidently platform](cloud_v2).,15,15,hurried_developer,faq/migration.mdx
"It says the old API is still available, how do I keep using it?","If you still need the old API, pin your Evidently version to `0.6.7` or earlier.",17,18,context_assumer,faq/migration.mdx
Can I still use the old column mapping feature or do I have to use this new data definition thing?,"We replaced `column_mapping` with `data_definition`. Now, you also need to explicitly create an Evidently `Dataset` object instead of just passing a dataframe when running a Report. Each `Dataset` object has an associated `DataDefinition`.",26,26,direct_inquirer,faq/migration.mdx
How do I map columns based on their type and role like numerical or target?,"While similar to column mapping, this new structure lets you cleanly map input columns based on their **type** (e.g., categorical, numerical, datetime, text) and **role** (e.g., target, prediction, timestamp). A column can have both a type and role.",28,28,direct_inquirer,faq/migration.mdx
"I'm trying to add descriptors, but I'm not sure how to compute them and then use them in a report. Can you show me the steps?","Descriptor computation is now split into **two steps**: 
**1. Compute Descriptors**. Add them to the source table containing inputs and outputs. You can do this together with data definition. For example: 
```python
eval_data = Dataset.from_pandas(
    pd.DataFrame(df),
    data_definition=DataDefinition(
        text_columns=[""question"", ""answer""]),
    descriptors=[
        Sentiment(""answer"", alias=""Sentiment""),
        TextLength(""answer"", alias=""Length""),
        IncludesWords(""answer"", words_list=['sorry', 'apologize'], alias=""Denials""),
    ]
)
```

**2. Aggregate results or run conditional checks**. Use these descriptors like any other dataset column when creating a Report. For example, here is how you summarize all descriptors and check that the text length is under 100 symbols.
```python
report = Report([
    TextEvals(),
    MaxValue(column=""Length"", tests=[lt(100)]),
])
```

This decoupling means you can reuse descriptor outputs for multiple tests or aggregations without recomputation. It’s especially useful for LLM evaluations.",42,68,frustrated_beginner,faq/migration.mdx
report run method,"Key changes:

- The Report object now defines the configuration (e.g., metrics to include).
- Running a Report returns a separate result object.",91,94,hurried_developer,faq/migration.mdx
"I'm trying to use Evidently, but I'm not sure if I need the OSS version or the Platform. What's the difference for core features like evaluations and reports?","All the core evaluation features are open-source. The OSS version of the Evidently Platform offers a lightweight deployment with a base feature set for storing and visualizing the evaluation results. The commercial version of the Platform includes additional functionality related to no-code evaluation, collaboration and no-code managed workflows. It also includes security features like role-based access control and comes with a scalable backend.",60,62,frustrated_beginner,faq/oss_vs_cloud.mdx
evidently OSS vs commercial platform features,"Platform editions differ in features, level of support, and maintenance costs.",28,28,hurried_developer,faq/oss_vs_cloud.mdx
"I see there are different platform editions. How do the core features like tracing, evaluations, reports, and monitoring compare between the open-source and cloud/enterprise options?","Core features such as Tracing (instrumentation), Evaluations (100+ checks), Reports and Test Suites, Monitoring dashboard, Custom metrics, Report (JSON) storage, API access, Raw data storage, Trace viewer, Dataset management, Synthetic data generation, and Prompt optimization are available in both the Open-source and Cloud and Enterprise versions.",34,45,context_assumer,faq/oss_vs_cloud.mdx
"Can I get support for the open-source version of Evidently, or do I need to upgrade to use the platform?","We provide documentation and a Discord community forum for Evidently OSS, but as a small team, we can’t offer extensive support to open-source users. If you’re running Evidently OSS in production, you must be comfortable troubleshooting and resolving issues on your own. For more hands-on support, we recommend upgrading to Evidently Cloud / Enterprise.",68,68,direct_inquirer,faq/oss_vs_cloud.mdx
What's the difference in premium features between the OSS and commercial versions?,"Premium features like No-code data generation, No-code evaluations, No-code dashboards, Side-by-side comparison, Alerts, and Scheduled tasks are only available in the Cloud and Enterprise versions, not the Open-source version.",47,52,frustrated_beginner,faq/oss_vs_cloud.mdx
self-hosted platform maintenance,"For Evidently Enterprise (Self-Hosted), the Enterprise version comes with dedicated implementation support, but your team must still manage ongoing configuration and maintenance.",77,77,hurried_developer,faq/oss_vs_cloud.mdx
"I'm trying to disable the usage reporting, but I'm not sure how. Can you tell me the environment variable I need to set?","To disable telemetry, use the environment variable: `DO_NOT_TRACK`.
Set it to any value, for instance: `export DO_NOT_TRACK=1`.",85,91,frustrated_beginner,faq/telemetry.mdx
disable telemetry env var,"To disable telemetry, use the environment variable: `DO_NOT_TRACK`.
Set it to any value, for instance: `export DO_NOT_TRACK=1`.",85,91,hurried_developer,faq/telemetry.mdx
It says I can disable telemetry. How do I do that?,"To disable telemetry, use the environment variable: `DO_NOT_TRACK`.
Set it to any value, for instance: `export DO_NOT_TRACK=1`.",85,91,context_assumer,faq/telemetry.mdx
What environment variable should I set to turn off anonymous usage reporting?,"To disable telemetry, use the environment variable: `DO_NOT_TRACK`.
Set it to any value, for instance: `export DO_NOT_TRACK=1`.",85,91,direct_inquirer,faq/telemetry.mdx
How do I re-enable telemetry after disabling it?,"To enable telemetry back, unset the environment variable: `unset DO_NOT_TRACK`.",99,103,frustrated_beginner,faq/telemetry.mdx
re-enable telemetry unset,"To enable telemetry back, unset the environment variable: `unset DO_NOT_TRACK`.",99,103,hurried_developer,faq/telemetry.mdx
"I disabled it using the env var, how do I turn it back on?","To enable telemetry back, unset the environment variable: `unset DO_NOT_TRACK`.",99,103,context_assumer,faq/telemetry.mdx
What command do I run to re-enable telemetry collection?,"To enable telemetry back, unset the environment variable: `unset DO_NOT_TRACK`.",99,103,direct_inquirer,faq/telemetry.mdx
